2026-07-24 13:31:53 - transient_deeponet - INFO - Training comment
2026-07-24 13:31:53 - transient_deeponet - INFO - Cylinder transient data; complete 100-step trajectory per x-strip sample
2026-07-24 13:31:53 - transient_deeponet - INFO - Output directory: /home/hantianl/Documents/PIDIF/DeepONet/results/transient_072426_1
2026-07-24 16:13:56 - transient_deeponet - INFO - Epoch 0680 | data loss=1.001e-02 | bc loss=0.000e+00 | valid MSE=3.917e+02 | valid rel L2=6.491e-02 | pressure=2.775e-02, u=2.662e-02, v=1.437e-01 | Time: 2:41:55.899382
2026-07-24 16:16:23 - transient_deeponet - INFO - Epoch 0690 | data loss=8.447e-03 | bc loss=0.000e+00 | valid MSE=3.542e+02 | valid rel L2=6.149e-02 | pressure=2.639e-02, u=2.598e-02, v=1.378e-01 | Time: 2:44:22.723416
2026-07-24 16:18:43 - transient_deeponet - INFO - Epoch 0700 | data loss=8.151e-03 | bc loss=0.000e+00 | valid MSE=3.831e+02 | valid rel L2=3.568e-02 | pressure=2.744e-02, u=2.341e-02, v=1.339e-01 | Time: 2:46:42.853642
2026-07-24 16:21:06 - transient_deeponet - INFO - Epoch 0710 | data loss=8.247e-03 | bc loss=0.000e+00 | valid MSE=3.788e+02 | valid rel L2=3.915e-02 | pressure=2.729e-02, u=2.934e-02, v=1.520e-01 | Time: 2:49:05.481743
2026-07-24 16:23:23 - transient_deeponet - INFO - Epoch 0720 | data loss=7.581e-03 | bc loss=0.000e+00 | valid MSE=2.909e+02 | valid rel L2=3.598e-02 | pressure=2.391e-02, u=2.531e-02, v=1.378e-01 | Time: 2:51:22.185238
2026-07-24 16:25:39 - transient_deeponet - INFO - Epoch 0730 | data loss=7.582e-03 | bc loss=0.000e+00 | valid MSE=3.173e+02 | valid rel L2=3.654e-02 | pressure=2.497e-02, u=2.398e-02, v=1.332e-01 | Time: 2:53:38.854979
2026-07-24 16:27:57 - transient_deeponet - INFO - Epoch 0740 | data loss=7.431e-03 | bc loss=0.000e+00 | valid MSE=3.676e+02 | valid rel L2=3.957e-02 | pressure=2.688e-02, u=2.512e-02, v=1.374e-01 | Time: 2:55:56.044343
2026-07-24 16:30:13 - transient_deeponet - INFO - Epoch 0750 | data loss=7.599e-03 | bc loss=0.000e+00 | valid MSE=3.816e+02 | valid rel L2=3.708e-02 | pressure=2.739e-02, u=2.397e-02, v=1.365e-01 | Time: 2:58:12.449527
2026-07-24 16:32:31 - transient_deeponet - INFO - Epoch 0760 | data loss=7.203e-03 | bc loss=0.000e+00 | valid MSE=3.490e+02 | valid rel L2=5.831e-02 | pressure=2.619e-02, u=2.378e-02, v=1.351e-01 | Time: 3:00:30.865409
2026-07-24 16:34:48 - transient_deeponet - INFO - Epoch 0770 | data loss=6.937e-03 | bc loss=0.000e+00 | valid MSE=3.451e+02 | valid rel L2=6.173e-02 | pressure=2.605e-02, u=2.468e-02, v=1.350e-01 | Time: 3:02:47.826795
